composition gfa{AM,CR} processing{meltspin,sputtering}
Co74.200000V12.800000Zr13.000000 CR sputtering
Co73.800000V12.600000Zr13.600000 CR sputtering
Co73.400000V12.300000Zr14.300000 CR sputtering
Co72.900000V12.100000Zr15.000000 CR sputtering
Co72.400000V11.800000Zr15.800000 CR sputtering
Co71.800000V11.600000Zr16.600000 CR sputtering
Co71.200000V11.400000Zr17.400000 CR sputtering
Co70.600000V11.200000Zr18.300000 CR sputtering
Co69.900000V10.900000Zr19.200000 CR sputtering
Co69.100000V10.700000Zr20.200000 CR sputtering
Co78.100000V13.000000Zr8.960000 CR sputtering
Co77.900000V12.700000Zr9.370000 CR sputtering
Co77.700000V12.500000Zr9.810000 CR sputtering
Co77.500000V12.300000Zr10.300000 CR sputtering
Co77.200000V12.000000Zr10.800000 CR sputtering
Co76.900000V11.800000Zr11.300000 CR sputtering
Co76.600000V11.600000Zr11.800000 CR sputtering
Co76.200000V11.400000Zr12.400000 CR sputtering
Co75.800000V11.200000Zr13.000000 CR sputtering
Co75.300000V11.000000Zr13.700000 CR sputtering
Co74.900000V10.800000Zr14.400000 CR sputtering
Co74.300000V10.600000Zr15.100000 CR sputtering
Co73.700000V10.400000Zr15.900000 CR sputtering
Co73.100000V10.200000Zr16.700000 CR sputtering
Co72.500000V10.000000Zr17.500000 CR sputtering
Co80.100000V11.400000Zr8.520000 CR sputtering
Co79.900000V11.200000Zr8.920000 CR sputtering
Co79.700000V11.000000Zr9.340000 CR sputtering
Co79.400000V10.800000Zr9.780000 CR sputtering
Co79.100000V10.600000Zr10.300000 CR sputtering
Co78.800000V10.400000Zr10.800000 CR sputtering
Co78.500000V10.300000Zr11.300000 CR sputtering
Co78.100000V10.100000Zr11.800000 CR sputtering
Co77.600000V9.910000Zr12.400000 CR sputtering
Co77.200000V9.740000Zr13.100000 CR sputtering
Co76.700000V9.580000Zr13.700000 CR sputtering
Co76.100000V9.420000Zr14.400000 CR sputtering
Co75.600000V9.260000Zr15.200000 CR sputtering
Co81.700000V9.860000Zr8.460000 CR sputtering
Co81.400000V9.700000Zr8.860000 CR sputtering
Co81.200000V9.530000Zr9.290000 CR sputtering
Co80.900000V9.380000Zr9.740000 CR sputtering
Co80.600000V9.220000Zr10.200000 CR sputtering
Co80.200000V9.080000Zr10.700000 CR sputtering
Co79.800000V8.930000Zr11.300000 CR sputtering
Co79.400000V8.790000Zr11.800000 CR sputtering
Co78.900000V8.650000Zr12.500000 CR sputtering
Co8.330000V25.353000Zr66.317000 CR sputtering
Co8.540000V32.246000Zr59.215000 CR sputtering
Co8.733000V30.527000Zr60.740000 CR sputtering
Co8.920000V28.866000Zr62.214000 CR sputtering
Co9.100000V27.262000Zr63.638000 CR sputtering
Co9.273000V25.723000Zr65.004000 CR sputtering
Co9.439000V24.248000Zr66.314000 CR sputtering
Co9.597000V22.835000Zr67.567000 CR sputtering
Co9.748000V21.491000Zr68.761000 CR sputtering
Co9.891000V20.211000Zr69.898000 CR sputtering
Co9.008000V36.178000Zr54.814000 CR sputtering
Co9.241000V34.361000Zr56.397000 CR sputtering
Co9.469000V32.591000Zr57.940000 CR sputtering
Co9.691000V30.869000Zr59.440000 CR sputtering
Co9.906000V29.205000Zr60.889000 CR sputtering
Co10.114000V27.598000Zr62.288000 CR sputtering
Co10.313000V26.055000Zr63.632000 CR sputtering
Co10.505000V24.576000Zr64.919000 CR sputtering
Co10.689000V23.159000Zr66.152000 CR sputtering
Co10.863000V21.811000Zr67.326000 CR sputtering
Co11.030000V20.526000Zr68.444000 CR sputtering
Co11.188000V19.309000Zr69.503000 CR sputtering
Co11.337000V18.156000Zr70.507000 CR sputtering
Co9.689000V38.338000Zr51.972000 CR sputtering
Co9.963000V36.475000Zr53.562000 CR sputtering
Co10.230000V34.657000Zr55.113000 CR sputtering
Co10.490000V32.885000Zr56.625000 CR sputtering
Co10.745000V31.161000Zr58.094000 CR sputtering
Co10.991000V29.496000Zr59.513000 CR sputtering
Co11.229000V27.888000Zr60.883000 CR sputtering
Co11.458000V26.343000Zr62.198000 CR sputtering
Co11.679000V24.862000Zr63.459000 CR sputtering
Co11.891000V23.444000Zr64.665000 CR sputtering
Co12.093000V22.093000Zr65.814000 CR sputtering
Co12.287000V20.805000Zr66.908000 CR sputtering
Co12.470000V19.585000Zr67.945000 CR sputtering
Co12.645000V18.429000Zr68.927000 CR sputtering
Co12.810000V17.333000Zr69.857000 CR sputtering
Co10.382000V40.474000Zr49.145000 CR sputtering
Co10.698000V38.576000Zr50.726000 CR sputtering
