# peak_position, peak_width_max, peak_width_min, peak_intensity, num_of_peaks
2.429709018530465059e+00,4.533661062818852283e-01,4.533661062818852283e-01,1.501123334203577713e+02,1.000000000000000000e+00
2.433412483670867044e+00,4.570431799448353982e-01,4.570431799448353982e-01,1.613733420614759950e+02,1.000000000000000000e+00
2.436170423248626093e+00,4.629447732750268107e-01,4.629447732750268107e-01,1.717952733496875339e+02,1.000000000000000000e+00
2.439160299567662005e+00,4.662736334717695330e-01,4.662736334717695330e-01,1.822999906856893233e+02,1.000000000000000000e+00
2.441288105235775330e+00,4.695537597075147285e-01,4.695537597075147285e-01,1.933303284002459463e+02,1.000000000000000000e+00
2.445807208418675049e+00,4.691704895036925560e-01,4.691704895036925560e-01,2.045009161036522585e+02,1.000000000000000000e+00
2.450639625695499202e+00,4.691587591234266941e-01,4.691587591234266941e-01,2.178549865389628337e+02,1.000000000000000000e+00
2.454779033135564337e+00,4.697603337628196707e-01,4.697603337628196707e-01,2.306033770719309075e+02,1.000000000000000000e+00
2.301315494336551026e+00,3.595939286547886748e-01,1.427543541868587784e-01,1.186985368735938806e+02,2.000000000000000000e+00
2.306801480376458713e+00,3.350151520152295226e-01,1.376865761172826885e-01,1.458397478952169877e+02,2.000000000000000000e+00
2.309485102399615464e+00,3.145487084074886641e-01,1.257256838122752518e-01,1.606316570209884560e+02,2.000000000000000000e+00
2.310061928209411697e+00,2.917087487866071305e-01,1.154976669581575799e-01,1.698544821926199404e+02,2.000000000000000000e+00
2.310055828329682370e+00,2.683428644811355346e-01,1.101683390038280252e-01,1.750539547252716943e+02,2.000000000000000000e+00
2.309568499996612623e+00,2.431493551379433626e-01,1.040243735257850161e-01,1.819428598319722141e+02,2.000000000000000000e+00
2.308767223450638006e+00,2.190369846879909044e-01,9.896788655117341738e-02,1.867884900834536950e+02,2.000000000000000000e+00
2.307334624405012580e+00,1.995720758191921462e-01,9.370510447467367277e-02,1.941327194074197564e+02,2.000000000000000000e+00
2.305572883840215859e+00,1.872475972000714473e-01,9.061796512032067874e-02,2.049757152880279989e+02,2.000000000000000000e+00
2.303620928173319982e+00,1.763399335934876799e-01,8.814085372066490787e-02,2.247481775518808433e+02,2.000000000000000000e+00
2.302041284121779441e+00,1.673964901448304621e-01,8.644325870595158390e-02,2.429589509184204417e+02,2.000000000000000000e+00
2.300747810300196594e+00,1.614226613525705789e-01,8.459367585583224547e-02,2.624625892654598260e+02,2.000000000000000000e+00
